zone,description,venues
Anaheim,,Honda Center
Arcadia,,Santa Anita Park
Carson,,Carson Stadium; Carson Velodrome; Carson Field; Carson Center Court; Carson Court 1; Carson Court 2; Carson Courts 3-11
City of Industry,,Industry Hills MTB Course
DTLA,,DTLA Arena; Dodger Stadium; Peacock Theater; LA Convention Center Hall 1; LA Convention Center Hall 2; LA Convention Center Hall 3
Exposition Park,,LA Memorial Coliseum; Galen Center; Exposition Park Stadium
Inglewood,,Inglewood Dome; 2028 Stadium
Long Beach,,Long Beach Aquatics Center; Alamitos Beach Stadium; Marine Stadium; Long Beach Arena; Belmont Shore; Long Beach Target Shooting Hall; Long Beach Climbing Theater
OKC,,OKC Softball Park; OKC Whitewater Center
Pasadena,,Rose Bowl Aquatics Center; Rose Bowl Stadium
Pomona,,Fairgrounds Cricket Stadium
Port of Los Angeles,,Port of Los Angeles
Riviera,,Riviera Country Club
TBD,,TBD
Trestles Beach,,Trestles State Beach
Universal City,,Comcast Squash Center at Universal Studios
Valley,,Valley Complex 3; Valley Complex 1; Valley Complex 4; Valley Complex 2
Venice,,Venice Beach Boardwalk - Start; Venice Beach
Whittier Narrows,,Whittier Narrows Clay Shooting Center
